matrix_dim	dtype	dcn_size	ici_size	testsuite	test_name	test_start_timestamp	test_end_timestamp	ici_bandwidth_gbyte_s_p50	ici_bandwidth_gbyte_s_p90	ici_bandwidth_gbyte_s_p95	ici_bandwidth_gbyte_s_p99	ici_bandwidth_gbyte_s_avg	ici_time_ms_p50	ici_time_ms_p90	ici_time_ms_p95	ici_time_ms_p99	ici_time_ms_avg	ici_time_ms_list
13312	2	1	4	microbenchmark	all_to_all	2026-06-04T17:55:35.059965+00:00Z	2026-06-04T17:55:35.312684+00:00Z	24.7674416056982	24.7674416056982	24.7674416056982	24.7674416056982	24.7674416056982	10.732397000538185	10.732397000538185	10.732397000538185	10.732397000538185	10.732397000538185	[10.732397000538185]
14336	2	1	4	microbenchmark	all_to_all	2026-06-04T17:55:35.313825+00:00Z	2026-06-04T17:55:35.577723+00:00Z	25.09098731140052	25.09098731140052	25.09098731140052	25.09098731140052	25.09098731140052	12.286537001273246	12.286537001273246	12.286537001273246	12.286537001273246	12.286537001273246	[12.286537001273246]
15360	2	1	4	microbenchmark	all_to_all	2026-06-04T17:55:35.578859+00:00Z	2026-06-04T17:55:35.869000+00:00Z	25.27866616600967	25.27866616600967	25.27866616600967	25.27866616600967	25.27866616600967	13.999726001202362	13.999726001202362	13.999726001202362	13.999726001202362	13.999726001202362	[13.999726001202362]
16384	2	1	4	microbenchmark	all_to_all	2026-06-04T17:55:35.870172+00:00Z	2026-06-04T17:55:36.165757+00:00Z	25.22978781776786	25.22978781776786	25.22978781776786	25.22978781776786	25.22978781776786	15.959436001139693	15.959436001139693	15.959436001139693	15.959436001139693	15.959436001139693	[15.959436001139693]
17408	2	1	4	microbenchmark	all_to_all	2026-06-04T17:55:36.166939+00:00Z	2026-06-04T17:55:36.502096+00:00Z	25.395157207320796	25.395157207320796	25.395157207320796	25.395157207320796	25.395157207320796	17.899385000418988	17.899385000418988	17.899385000418988	17.899385000418988	17.899385000418988	[17.899385000418988]
18432	2	1	4	microbenchmark	all_to_all	2026-06-04T17:55:36.503248+00:00Z	2026-06-04T17:55:36.856837+00:00Z	25.533628031270275	25.533628031270275	25.533628031270275	25.533628031270275	25.533628031270275	19.95830499981821	19.95830499981821	19.95830499981821	19.95830499981821	19.95830499981821	[19.95830499981821]
19456	2	1	4	microbenchmark	all_to_all	2026-06-04T17:55:36.858002+00:00Z	2026-06-04T17:55:37.244333+00:00Z	25.505389044669062	25.505389044669062	25.505389044669062	25.505389044669062	25.505389044669062	22.26211499873898	22.26211499873898	22.26211499873898	22.26211499873898	22.26211499873898	[22.26211499873898]
20480	2	1	4	microbenchmark	all_to_all	2026-06-04T17:55:37.245497+00:00Z	2026-06-04T17:55:37.650239+00:00Z	25.626941866206835	25.626941866206835	25.626941866206835	25.626941866206835	25.626941866206835	24.550162999730674	24.550162999730674	24.550162999730674	24.550162999730674	24.550162999730674	[24.550162999730674]
21504	2	1	4	microbenchmark	all_to_all	2026-06-04T17:55:37.651423+00:00Z	2026-06-04T17:55:38.093528+00:00Z	25.63026722586258	25.63026722586258	25.63026722586258	25.63026722586258	25.63026722586258	27.063042998634046	27.063042998634046	27.063042998634046	27.063042998634046	27.063042998634046	[27.063042998634046]
22528	2	1	4	microbenchmark	all_to_all	2026-06-04T17:55:38.094686+00:00Z	2026-06-04T17:55:38.561286+00:00Z	25.755464931759686	25.755464931759686	25.755464931759686	25.755464931759686	25.755464931759686	29.557461999502266	29.557461999502266	29.557461999502266	29.557461999502266	29.557461999502266	[29.557461999502266]
23552	2	1	4	microbenchmark	all_to_all	2026-06-04T17:55:38.562452+00:00Z	2026-06-04T17:55:39.066409+00:00Z	25.782258000638564	25.782258000638564	25.782258000638564	25.782258000638564	25.782258000638564	32.27200100081973	32.27200100081973	32.27200100081973	32.27200100081973	32.27200100081973	[32.27200100081973]
24576	2	1	4	microbenchmark	all_to_all	2026-06-04T17:55:39.067583+00:00Z	2026-06-04T17:55:39.589365+00:00Z	25.822651105333133	25.822651105333133	25.822651105333133	25.822651105333133	25.822651105333133	35.084301000097184	35.084301000097184	35.084301000097184	35.084301000097184	35.084301000097184	[35.084301000097184]
25600	2	1	4	microbenchmark	all_to_all	2026-06-04T17:55:39.590521+00:00Z	2026-06-04T17:55:40.163433+00:00Z	25.817823768276213	25.817823768276213	25.817823768276213	25.817823768276213	25.817823768276213	38.07602100096119	38.07602100096119	38.07602100096119	38.07602100096119	38.07602100096119	[38.07602100096119]
26624	2	1	4	microbenchmark	all_to_all	2026-06-04T17:55:40.164603+00:00Z	2026-06-04T17:55:40.763501+00:00Z	25.849832596118866	25.849832596118866	25.849832596118866	25.849832596118866	25.849832596118866	41.13202900043689	41.13202900043689	41.13202900043689	41.13202900043689	41.13202900043689	[41.13202900043689]
27648	2	1	4	microbenchmark	all_to_all	2026-06-04T17:55:40.764669+00:00Z	2026-06-04T17:55:41.406349+00:00Z	25.881164329056904	25.881164329056904	25.881164329056904	25.881164329056904	25.881164329056904	44.303179000053206	44.303179000053206	44.303179000053206	44.303179000053206	44.303179000053206	[44.303179000053206]
28672	2	1	4	microbenchmark	all_to_all	2026-06-04T17:55:41.407516+00:00Z	2026-06-04T17:55:42.074704+00:00Z	25.957022110165624	25.957022110165624	25.957022110165624	25.957022110165624	25.957022110165624	47.50642699946184	47.50642699946184	47.50642699946184	47.50642699946184	47.50642699946184	[47.50642699946184]
29696	2	1	4	microbenchmark	all_to_all	2026-06-04T17:55:42.075880+00:00Z	2026-06-04T17:55:42.797025+00:00Z	25.954160421346888	25.954160421346888	25.954160421346888	25.954160421346888	25.954160421346888	50.96595699978934	50.96595699978934	50.96595699978934	50.96595699978934	50.96595699978934	[50.96595699978934]
