batch	seq_len	d_model	num_heads	testsuite	test_name	test_start_timestamp	test_end_timestamp	time_ms_p50	time_ms_p90	time_ms_p95	time_ms_p99	time_ms_avg
1	512	1024	1	microbenchmark	flax_nnx_attention	2026-06-04T18:05:02.141092+00:00Z	2026-06-04T18:05:02.556541+00:00Z	0.1636400011193473	0.1636400011193473	0.1636400011193473	0.1636400011193473	0.1636400011193473
2	512	1024	1	microbenchmark	flax_nnx_attention	2026-06-04T18:05:02.557341+00:00Z	2026-06-04T18:05:03.071214+00:00Z	0.174939999851631	0.174939999851631	0.174939999851631	0.174939999851631	0.174939999851631
4	512	1024	1	microbenchmark	flax_nnx_attention	2026-06-04T18:05:03.071999+00:00Z	2026-06-04T18:05:03.903709+00:00Z	0.2055200020549819	0.2055200020549819	0.2055200020549819	0.2055200020549819	0.2055200020549819
8	512	1024	1	microbenchmark	flax_nnx_attention	2026-06-04T18:05:03.904539+00:00Z	2026-06-04T18:05:04.755403+00:00Z	0.23290999888558872	0.23290999888558872	0.23290999888558872	0.23290999888558872	0.23290999888558872
16	512	1024	1	microbenchmark	flax_nnx_attention	2026-06-04T18:05:04.756207+00:00Z	2026-06-04T18:05:05.646350+00:00Z	0.3097990011156071	0.3097990011156071	0.3097990011156071	0.3097990011156071	0.3097990011156071
32	512	1024	1	microbenchmark	flax_nnx_attention	2026-06-04T18:05:05.647164+00:00Z	2026-06-04T18:05:06.588674+00:00Z	0.543080001079943	0.543080001079943	0.543080001079943	0.543080001079943	0.543080001079943
2	128	1024	1	microbenchmark	flax_nnx_attention	2026-06-04T18:05:06.589478+00:00Z	2026-06-04T18:05:06.879378+00:00Z	0.159119997988455	0.159119997988455	0.159119997988455	0.159119997988455	0.159119997988455
2	256	1024	1	microbenchmark	flax_nnx_attention	2026-06-04T18:05:06.880161+00:00Z	2026-06-04T18:05:07.201487+00:00Z	0.17207000200869516	0.17207000200869516	0.17207000200869516	0.17207000200869516	0.17207000200869516
2	512	1024	1	microbenchmark	flax_nnx_attention	2026-06-04T18:05:07.202294+00:00Z	2026-06-04T18:05:07.678584+00:00Z	0.20586000027833506	0.20586000027833506	0.20586000027833506	0.20586000027833506	0.20586000027833506
2	1024	1024	1	microbenchmark	flax_nnx_attention	2026-06-04T18:05:07.679397+00:00Z	2026-06-04T18:05:08.797986+00:00Z	0.20978999964427203	0.20978999964427203	0.20978999964427203	0.20978999964427203	0.20978999964427203
2	2048	1024	1	microbenchmark	flax_nnx_attention	2026-06-04T18:05:08.798761+00:00Z	2026-06-04T18:05:10.868521+00:00Z	0.2823489994625561	0.2823489994625561	0.2823489994625561	0.2823489994625561	0.2823489994625561
2	512	128	1	microbenchmark	flax_nnx_attention	2026-06-04T18:05:10.869315+00:00Z	2026-06-04T18:05:11.152128+00:00Z	0.16744000095059164	0.16744000095059164	0.16744000095059164	0.16744000095059164	0.16744000095059164
2	512	256	1	microbenchmark	flax_nnx_attention	2026-06-04T18:05:11.152931+00:00Z	2026-06-04T18:05:11.482969+00:00Z	0.16696999955456704	0.16696999955456704	0.16696999955456704	0.16696999955456704	0.16696999955456704
2	512	512	1	microbenchmark	flax_nnx_attention	2026-06-04T18:05:11.483749+00:00Z	2026-06-04T18:05:11.806844+00:00Z	0.16667000090819784	0.16667000090819784	0.16667000090819784	0.16667000090819784	0.16667000090819784
2	512	1024	1	microbenchmark	flax_nnx_attention	2026-06-04T18:05:11.807630+00:00Z	2026-06-04T18:05:12.281317+00:00Z	0.16994000179693103	0.16994000179693103	0.16994000179693103	0.16994000179693103	0.16994000179693103
2	512	2048	1	microbenchmark	flax_nnx_attention	2026-06-04T18:05:12.282106+00:00Z	2026-06-04T18:05:13.703520+00:00Z	0.20279000091250055	0.20279000091250055	0.20279000091250055	0.20279000091250055	0.20279000091250055
2	512	4096	1	microbenchmark	flax_nnx_attention	2026-06-04T18:05:13.704318+00:00Z	2026-06-04T18:05:14.916549+00:00Z	0.2427199979138095	0.2427199979138095	0.2427199979138095	0.2427199979138095	0.2427199979138095
2	512	2048	1	microbenchmark	flax_nnx_attention	2026-06-04T18:05:14.917336+00:00Z	2026-06-04T18:05:16.242113+00:00Z	0.19978999989689328	0.19978999989689328	0.19978999989689328	0.19978999989689328	0.19978999989689328
2	512	2048	2	microbenchmark	flax_nnx_attention	2026-06-04T18:05:16.242754+00:00Z	2026-06-04T18:05:17.603163+00:00Z	0.21367000226746313	0.21367000226746313	0.21367000226746313	0.21367000226746313	0.21367000226746313
2	512	2048	4	microbenchmark	flax_nnx_attention	2026-06-04T18:05:17.603936+00:00Z	2026-06-04T18:05:19.103686+00:00Z	0.19375999909243546	0.19375999909243546	0.19375999909243546	0.19375999909243546	0.19375999909243546
2	512	2048	8	microbenchmark	flax_nnx_attention	2026-06-04T18:05:19.104471+00:00Z	2026-06-04T18:05:20.472521+00:00Z	0.19062999854213558	0.19062999854213558	0.19062999854213558	0.19062999854213558	0.19062999854213558
2	512	2048	16	microbenchmark	flax_nnx_attention	2026-06-04T18:05:20.473310+00:00Z	2026-06-04T18:05:21.862417+00:00Z	0.19537000116542913	0.19537000116542913	0.19537000116542913	0.19537000116542913	0.19537000116542913
