input_shape	kernel_shape	output_shape	padding_mode	total_flops	testsuite	test_name	test_start_timestamp	test_end_timestamp	gflops_per_sec_p50	gflops_per_sec_p90	gflops_per_sec_p95	gflops_per_sec_p99	gflops_per_sec_avg
(256,)	(3,)	(256,)	same	1536	microbenchmark	numpy_convolve	2026-06-04T18:05:38.209145+00:00Z	2026-06-04T18:05:38.381048+00:00Z	0.008996134441192778	0.008996134441192778	0.008996134441192778	0.008996134441192778	0.008996134441192778
(512,)	(3,)	(512,)	same	3072	microbenchmark	numpy_convolve	2026-06-04T18:05:38.381981+00:00Z	2026-06-04T18:05:38.521664+00:00Z	0.02100800126790561	0.02100800126790561	0.02100800126790561	0.02100800126790561	0.02100800126790561
(2048,)	(3,)	(2046,)	valid	12276	microbenchmark	numpy_convolve	2026-06-04T18:05:38.522648+00:00Z	2026-06-04T18:05:38.808042+00:00Z	0.07697565147772586	0.07697565147772586	0.07697565147772586	0.07697565147772586	0.07697565147772586
(2048,)	(6,)	(2043,)	valid	24516	microbenchmark	numpy_convolve	2026-06-04T18:05:38.809027+00:00Z	2026-06-04T18:05:39.233176+00:00Z	0.14572039963186664	0.14572039963186664	0.14572039963186664	0.14572039963186664	0.14572039963186664
(2048,)	(12,)	(2037,)	valid	48888	microbenchmark	numpy_convolve	2026-06-04T18:05:39.234185+00:00Z	2026-06-04T18:05:39.982678+00:00Z	0.30402985374936525	0.30402985374936525	0.30402985374936525	0.30402985374936525	0.30402985374936525
(2048,)	(24,)	(2025,)	valid	97200	microbenchmark	numpy_convolve	2026-06-04T18:05:39.983654+00:00Z	2026-06-04T18:05:41.448405+00:00Z	0.5980066444470362	0.5980066444470362	0.5980066444470362	0.5980066444470362	0.5980066444470362
(2048,)	(48,)	(2001,)	valid	192096	microbenchmark	numpy_convolve	2026-06-04T18:05:41.449429+00:00Z	2026-06-04T18:05:44.720570+00:00Z	1.1279196838753105	1.1279196838753105	1.1279196838753105	1.1279196838753105	1.1279196838753105
(2048,)	(96,)	(1953,)	valid	374976	microbenchmark	numpy_convolve	2026-06-04T18:05:44.721584+00:00Z	2026-06-04T18:05:52.092842+00:00Z	1.9967836469110023	1.9967836469110023	1.9967836469110023	1.9967836469110023	1.9967836469110023
(2048,)	(127,)	(2174,)	full	552196	microbenchmark	numpy_convolve	2026-06-04T18:05:52.093843+00:00Z	2026-06-04T18:06:04.017912+00:00Z	2.8173408986883444	2.8173408986883444	2.8173408986883444	2.8173408986883444	2.8173408986883444
