input_shape	kernel_shape	output_shape	padding_mode	total_flops	testsuite	test_name	test_start_timestamp	test_end_timestamp	gflops_per_sec_p50	gflops_per_sec_p90	gflops_per_sec_p95	gflops_per_sec_p99	gflops_per_sec_avg
(256, 256)	(3, 3)	(256, 256)	same	1179648	microbenchmark	scipy_signal_convolve	2026-06-04T18:06:04.022650+00:00Z	2026-06-04T18:06:12.911944+00:00Z	4.705792225474398	4.705792225474398	4.705792225474398	4.705792225474398	4.705792225474398
(512, 512)	(3, 3)	(512, 512)	same	4718592	microbenchmark	scipy_signal_convolve	2026-06-04T18:06:12.912937+00:00Z	2026-06-04T18:06:21.549452+00:00Z	9.1497003736563	9.1497003736563	9.1497003736563	9.1497003736563	9.1497003736563
(1024, 1024)	(3, 3)	(1024, 1024)	same	18874368	microbenchmark	scipy_signal_convolve	2026-06-04T18:06:21.550451+00:00Z	2026-06-04T18:06:38.889489+00:00Z	10.951001093245024	10.951001093245024	10.951001093245024	10.951001093245024	10.951001093245024
(128, 128, 128)	(3, 3, 3)	(126, 126, 126)	valid	108020304	microbenchmark	scipy_signal_convolve	2026-06-04T18:06:38.890486+00:00Z	2026-06-04T18:06:59.147472+00:00Z	18.988644649312736	18.988644649312736	18.988644649312736	18.988644649312736	18.988644649312736
