batch	seq_len	d_model	num_heads	causal	scale	testsuite	test_name	test_start_timestamp	test_end_timestamp	time_ms_p50	time_ms_p90	time_ms_p95	time_ms_p99	time_ms_avg
1	512	1024	1	True	False	microbenchmark	naive_attention	2026-06-04T18:03:43.015182+00:00Z	2026-06-04T18:03:43.990536+00:00Z	0.17036000281223096	0.17036000281223096	0.17036000281223096	0.17036000281223096	0.17036000281223096
2	512	1024	1	True	False	microbenchmark	naive_attention	2026-06-04T18:03:43.991357+00:00Z	2026-06-04T18:03:44.967505+00:00Z	0.18461999934515916	0.18461999934515916	0.18461999934515916	0.18461999934515916	0.18461999934515916
4	512	1024	1	True	False	microbenchmark	naive_attention	2026-06-04T18:03:44.968324+00:00Z	2026-06-04T18:03:46.546675+00:00Z	0.179749997187173	0.179749997187173	0.179749997187173	0.179749997187173	0.179749997187173
8	512	1024	1	True	False	microbenchmark	naive_attention	2026-06-04T18:03:46.547479+00:00Z	2026-06-04T18:03:49.583860+00:00Z	0.19396000061533414	0.19396000061533414	0.19396000061533414	0.19396000061533414	0.19396000061533414
16	512	1024	1	True	False	microbenchmark	naive_attention	2026-06-04T18:03:49.584653+00:00Z	2026-06-04T18:03:52.626519+00:00Z	0.23720999888610095	0.23720999888610095	0.23720999888610095	0.23720999888610095	0.23720999888610095
32	512	1024	1	True	False	microbenchmark	naive_attention	2026-06-04T18:03:52.627355+00:00Z	2026-06-04T18:04:24.746502+00:00Z	0.3711399986059405	0.3711399986059405	0.3711399986059405	0.3711399986059405	0.3711399986059405
2	128	1024	1	True	False	microbenchmark	naive_attention	2026-06-04T18:04:24.747336+00:00Z	2026-06-04T18:04:25.193550+00:00Z	0.17422000018996187	0.17422000018996187	0.17422000018996187	0.17422000018996187	0.17422000018996187
2	256	1024	1	True	False	microbenchmark	naive_attention	2026-06-04T18:04:25.194375+00:00Z	2026-06-04T18:04:25.984305+00:00Z	0.1691899997240398	0.1691899997240398	0.1691899997240398	0.1691899997240398	0.1691899997240398
2	512	1024	1	True	False	microbenchmark	naive_attention	2026-06-04T18:04:25.985114+00:00Z	2026-06-04T18:04:26.361035+00:00Z	0.16712999786250293	0.16712999786250293	0.16712999786250293	0.16712999786250293	0.16712999786250293
2	1024	1024	1	True	False	microbenchmark	naive_attention	2026-06-04T18:04:26.361864+00:00Z	2026-06-04T18:04:28.589422+00:00Z	0.20958000095561147	0.20958000095561147	0.20958000095561147	0.20958000095561147	0.20958000095561147
2	2048	1024	1	True	False	microbenchmark	naive_attention	2026-06-04T18:04:28.590235+00:00Z	2026-06-04T18:04:30.982094+00:00Z	0.2256499974464532	0.2256499974464532	0.2256499974464532	0.2256499974464532	0.2256499974464532
2	512	128	1	True	False	microbenchmark	naive_attention	2026-06-04T18:04:30.982758+00:00Z	2026-06-04T18:04:31.544124+00:00Z	0.15935999908833764	0.15935999908833764	0.15935999908833764	0.15935999908833764	0.15935999908833764
2	512	256	1	True	False	microbenchmark	naive_attention	2026-06-04T18:04:31.544940+00:00Z	2026-06-04T18:04:32.110535+00:00Z	0.17288999879383482	0.17288999879383482	0.17288999879383482	0.17288999879383482	0.17288999879383482
2	512	512	1	True	False	microbenchmark	naive_attention	2026-06-04T18:04:32.111348+00:00Z	2026-06-04T18:04:32.992370+00:00Z	0.1622099989617709	0.1622099989617709	0.1622099989617709	0.1622099989617709	0.1622099989617709
2	512	1024	1	True	False	microbenchmark	naive_attention	2026-06-04T18:04:32.993209+00:00Z	2026-06-04T18:04:33.368731+00:00Z	0.16352999955415726	0.16352999955415726	0.16352999955415726	0.16352999955415726	0.16352999955415726
2	512	2048	1	True	False	microbenchmark	naive_attention	2026-06-04T18:04:33.369572+00:00Z	2026-06-04T18:04:35.084669+00:00Z	0.17079999815905467	0.17079999815905467	0.17079999815905467	0.17079999815905467	0.17079999815905467
2	512	4096	1	True	False	microbenchmark	naive_attention	2026-06-04T18:04:35.085474+00:00Z	2026-06-04T18:04:36.692851+00:00Z	0.2008600022236351	0.2008600022236351	0.2008600022236351	0.2008600022236351	0.2008600022236351
2	512	2048	1	True	False	microbenchmark	naive_attention	2026-06-04T18:04:36.693637+00:00Z	2026-06-04T18:04:37.272960+00:00Z	0.167350000992883	0.167350000992883	0.167350000992883	0.167350000992883	0.167350000992883
2	512	2048	2	True	False	microbenchmark	naive_attention	2026-06-04T18:04:37.273798+00:00Z	2026-06-04T18:04:38.921972+00:00Z	0.17063999985111877	0.17063999985111877	0.17063999985111877	0.17063999985111877	0.17063999985111877
2	512	2048	4	True	False	microbenchmark	naive_attention	2026-06-04T18:04:38.922768+00:00Z	2026-06-04T18:04:40.583706+00:00Z	0.16867000158526935	0.16867000158526935	0.16867000158526935	0.16867000158526935	0.16867000158526935
2	512	2048	8	True	False	microbenchmark	naive_attention	2026-06-04T18:04:40.584498+00:00Z	2026-06-04T18:04:43.532054+00:00Z	0.17653000031714328	0.17653000031714328	0.17653000031714328	0.17653000031714328	0.17653000031714328
2	512	2048	16	True	False	microbenchmark	naive_attention	2026-06-04T18:04:43.532885+00:00Z	2026-06-04T18:04:46.589131+00:00Z	0.19011000040336512	0.19011000040336512	0.19011000040336512	0.19011000040336512	0.19011000040336512
2	512	1024	1	False	False	microbenchmark	naive_attention	2026-06-04T18:04:46.589953+00:00Z	2026-06-04T18:04:47.063642+00:00Z	0.16809000226203352	0.16809000226203352	0.16809000226203352	0.16809000226203352	0.16809000226203352
2	512	1024	1	True	True	microbenchmark	naive_attention	2026-06-04T18:04:47.064481+00:00Z	2026-06-04T18:04:47.463850+00:00Z	0.15746000281069428	0.15746000281069428	0.15746000281069428	0.15746000281069428	0.15746000281069428
