matrix_dim	dtype	dcn_size	ici_size	testsuite	test_name	test_start_timestamp	test_end_timestamp	ici_bandwidth_gbyte_s_p50	ici_bandwidth_gbyte_s_p90	ici_bandwidth_gbyte_s_p95	ici_bandwidth_gbyte_s_p99	ici_bandwidth_gbyte_s_avg	ici_time_ms_p50	ici_time_ms_p90	ici_time_ms_p95	ici_time_ms_p99	ici_time_ms_avg	ici_time_ms_list
1024	2	1	4	microbenchmark	psum	2026-06-04T17:55:15.328443+00:00Z	2026-06-04T17:55:15.405215+00:00Z	8.13816941182008	8.13816941182008	8.13816941182008	8.13816941182008	8.13816941182008	0.38653999945381656	0.38653999945381656	0.38653999945381656	0.38653999945381656	0.38653999945381656	[0.38653999945381656]
2048	2	1	4	microbenchmark	psum	2026-06-04T17:55:15.406296+00:00Z	2026-06-04T17:55:15.483493+00:00Z	21.231643035456813	21.231643035456813	21.231643035456813	21.231643035456813	21.231643035456813	0.5926489993726136	0.5926489993726136	0.5926489993726136	0.5926489993726136	0.5926489993726136	[0.5926489993726136]
3072	2	1	4	microbenchmark	psum	2026-06-04T17:55:15.484606+00:00Z	2026-06-04T17:55:15.568331+00:00Z	30.398075921445994	30.398075921445994	30.398075921445994	30.398075921445994	30.398075921445994	0.9313600003224565	0.9313600003224565	0.9313600003224565	0.9313600003224565	0.9313600003224565	[0.9313600003224565]
4096	2	1	4	microbenchmark	psum	2026-06-04T17:55:15.569437+00:00Z	2026-06-04T17:55:15.691155+00:00Z	36.023765043096404	36.023765043096404	36.023765043096404	36.023765043096404	36.023765043096404	1.3971789994684514	1.3971789994684514	1.3971789994684514	1.3971789994684514	1.3971789994684514	[1.3971789994684514]
5120	2	1	4	microbenchmark	psum	2026-06-04T17:55:15.692262+00:00Z	2026-06-04T17:55:15.784727+00:00Z	38.70428597268704	38.70428597268704	38.70428597268704	38.70428597268704	38.70428597268704	2.0318990009400295	2.0318990009400295	2.0318990009400295	2.0318990009400295	2.0318990009400295	[2.0318990009400295]
6144	2	1	4	microbenchmark	psum	2026-06-04T17:55:15.785851+00:00Z	2026-06-04T17:55:15.921495+00:00Z	41.58862787506899	41.58862787506899	41.58862787506899	41.58862787506899	41.58862787506899	2.7230089999648044	2.7230089999648044	2.7230089999648044	2.7230089999648044	2.7230089999648044	[2.7230089999648044]
7168	2	1	4	microbenchmark	psum	2026-06-04T17:55:15.922626+00:00Z	2026-06-04T17:55:16.031235+00:00Z	43.641446356828496	43.641446356828496	43.641446356828496	43.641446356828496	43.641446356828496	3.5319789985805983	3.5319789985805983	3.5319789985805983	3.5319789985805983	3.5319789985805983	[3.5319789985805983]
8192	2	1	4	microbenchmark	psum	2026-06-04T17:55:16.032360+00:00Z	2026-06-04T17:55:16.187404+00:00Z	44.63144284489429	44.63144284489429	44.63144284489429	44.63144284489429	44.63144284489429	4.510869001023821	4.510869001023821	4.510869001023821	4.510869001023821	4.510869001023821	[4.510869001023821]
9216	2	1	4	microbenchmark	psum	2026-06-04T17:55:16.188558+00:00Z	2026-06-04T17:55:16.354905+00:00Z	45.203744194381976	45.203744194381976	45.203744194381976	45.203744194381976	45.203744194381976	5.63678899925435	5.63678899925435	5.63678899925435	5.63678899925435	5.63678899925435	[5.63678899925435]
10240	2	1	4	microbenchmark	psum	2026-06-04T17:55:16.356046+00:00Z	2026-06-04T17:55:16.536787+00:00Z	45.88721098021863	45.88721098021863	45.88721098021863	45.88721098021863	45.88721098021863	6.855347999589867	6.855347999589867	6.855347999589867	6.855347999589867	6.855347999589867	[6.855347999589867]
