matrix_dim	dtype	dcn_size	ici_size	testsuite	test_name	test_start_timestamp	test_end_timestamp	ici_bandwidth_gbyte_s_p50	ici_bandwidth_gbyte_s_p90	ici_bandwidth_gbyte_s_p95	ici_bandwidth_gbyte_s_p99	ici_bandwidth_gbyte_s_avg	ici_time_ms_p50	ici_time_ms_p90	ici_time_ms_p95	ici_time_ms_p99	ici_time_ms_avg	ici_time_ms_list
12288	2	1	4	microbenchmark	ppermute	2026-06-04T17:54:52.137442+00:00Z	2026-06-04T17:54:52.409591+00:00Z	28.196296116522472	28.196296116522472	28.196296116522472	28.196296116522472	28.196296116522472	10.710267999456846	10.710267999456846	10.710267999456846	10.710267999456846	10.710267999456846	[10.710267999456846]
13312	2	1	4	microbenchmark	ppermute	2026-06-04T17:54:52.410618+00:00Z	2026-06-04T17:54:52.715898+00:00Z	28.38631643791314	28.38631643791314	28.38631643791314	28.38631643791314	28.38631643791314	12.485546998505015	12.485546998505015	12.485546998505015	12.485546998505015	12.485546998505015	[12.485546998505015]
14336	2	1	4	microbenchmark	ppermute	2026-06-04T17:54:52.716915+00:00Z	2026-06-04T17:54:53.038010+00:00Z	28.58018297122954	28.58018297122954	28.58018297122954	28.58018297122954	28.58018297122954	14.382056000613375	14.382056000613375	14.382056000613375	14.382056000613375	14.382056000613375	[14.382056000613375]
15360	2	1	4	microbenchmark	ppermute	2026-06-04T17:54:53.039022+00:00Z	2026-06-04T17:54:53.391883+00:00Z	28.74449876568703	28.74449876568703	28.74449876568703	28.74449876568703	28.74449876568703	16.415635000157636	16.415635000157636	16.415635000157636	16.415635000157636	16.415635000157636	[16.415635000157636]
16384	2	1	4	microbenchmark	ppermute	2026-06-04T17:54:53.392904+00:00Z	2026-06-04T17:54:53.754441+00:00Z	28.765798513502844	28.765798513502844	28.765798513502844	28.765798513502844	28.765798513502844	18.663514998479513	18.663514998479513	18.663514998479513	18.663514998479513	18.663514998479513	[18.663514998479513]
17408	2	1	4	microbenchmark	ppermute	2026-06-04T17:54:53.755479+00:00Z	2026-06-04T17:54:54.161917+00:00Z	28.929335558238755	28.929335558238755	28.929335558238755	28.929335558238755	28.929335558238755	20.950254000126733	20.950254000126733	20.950254000126733	20.950254000126733	20.950254000126733	[20.950254000126733]
18432	2	1	4	microbenchmark	ppermute	2026-06-04T17:54:54.162940+00:00Z	2026-06-04T17:54:54.591817+00:00Z	29.07713602996506	29.07713602996506	29.07713602996506	29.07713602996506	29.07713602996506	23.368094000034034	23.368094000034034	23.368094000034034	23.368094000034034	23.368094000034034	[23.368094000034034]
19456	2	1	4	microbenchmark	ppermute	2026-06-04T17:54:54.592838+00:00Z	2026-06-04T17:54:55.057808+00:00Z	29.06574896797132	29.06574896797132	29.06574896797132	29.06574896797132	29.06574896797132	26.04687299935904	26.04687299935904	26.04687299935904	26.04687299935904	26.04687299935904	[26.04687299935904]
20480	2	1	4	microbenchmark	ppermute	2026-06-04T17:54:55.058829+00:00Z	2026-06-04T17:54:55.544247+00:00Z	29.252753718494898	29.252753718494898	29.252753718494898	29.252753718494898	29.252753718494898	28.67630200125859	28.67630200125859	28.67630200125859	28.67630200125859	28.67630200125859	[28.67630200125859]
21504	2	1	4	microbenchmark	ppermute	2026-06-04T17:54:55.545258+00:00Z	2026-06-04T17:54:56.075480+00:00Z	29.26354714706493	29.26354714706493	29.26354714706493	29.26354714706493	29.26354714706493	31.603961999280727	31.603961999280727	31.603961999280727	31.603961999280727	31.603961999280727	[31.603961999280727]
22528	2	1	4	microbenchmark	ppermute	2026-06-04T17:54:56.076501+00:00Z	2026-06-04T17:54:56.638926+00:00Z	29.27197496273638	29.27197496273638	29.27197496273638	29.27197496273638	29.27197496273638	34.67554100097914	34.67554100097914	34.67554100097914	34.67554100097914	34.67554100097914	[34.67554100097914]
23552	2	1	4	microbenchmark	ppermute	2026-06-04T17:54:56.639955+00:00Z	2026-06-04T17:54:57.248541+00:00Z	29.286020528226157	29.286020528226157	29.286020528226157	29.286020528226157	29.286020528226157	37.881329999436275	37.881329999436275	37.881329999436275	37.881329999436275	37.881329999436275	[37.881329999436275]
24576	2	1	4	microbenchmark	ppermute	2026-06-04T17:54:57.249573+00:00Z	2026-06-04T17:54:57.878065+00:00Z	29.36825627710076	29.36825627710076	29.36825627710076	29.36825627710076	29.36825627710076	41.131469999527326	41.131469999527326	41.131469999527326	41.131469999527326	41.131469999527326	[41.131469999527326]
25600	2	1	4	microbenchmark	ppermute	2026-06-04T17:54:57.879101+00:00Z	2026-06-04T17:54:58.564657+00:00Z	29.409951187600278	29.409951187600278	29.409951187600278	29.409951187600278	29.409951187600278	44.56722799841373	44.56722799841373	44.56722799841373	44.56722799841373	44.56722799841373	[44.56722799841373]
26624	2	1	4	microbenchmark	ppermute	2026-06-04T17:54:58.565680+00:00Z	2026-06-04T17:54:59.288046+00:00Z	29.368659769919926	29.368659769919926	29.368659769919926	29.368659769919926	29.368659769919926	48.27168699921458	48.27168699921458	48.27168699921458	48.27168699921458	48.27168699921458	[48.27168699921458]
27648	2	1	4	microbenchmark	ppermute	2026-06-04T17:54:59.289080+00:00Z	2026-06-04T17:55:00.058524+00:00Z	29.41537709949696	29.41537709949696	29.41537709949696	29.41537709949696	29.41537709949696	51.9736259993806	51.9736259993806	51.9736259993806	51.9736259993806	51.9736259993806	[51.9736259993806]
28672	2	1	4	microbenchmark	ppermute	2026-06-04T17:55:00.059569+00:00Z	2026-06-04T17:55:00.859504+00:00Z	29.41883696627902	29.41883696627902	29.41883696627902	29.41883696627902	29.41883696627902	55.8882450004603	55.8882450004603	55.8882450004603	55.8882450004603	55.8882450004603	[55.8882450004603]
29696	2	1	4	microbenchmark	ppermute	2026-06-04T17:55:00.860554+00:00Z	2026-06-04T17:55:01.723111+00:00Z	29.495352442033212	29.495352442033212	29.495352442033212	29.495352442033212	29.495352442033212	59.79602499974135	59.79602499974135	59.79602499974135	59.79602499974135	59.79602499974135	[59.79602499974135]
