batch	seq_len	d_model	num_heads	testsuite	test_name	test_start_timestamp	test_end_timestamp	time_ms_p50	time_ms_p90	time_ms_p95	time_ms_p99	time_ms_avg
1	512	1024	1	microbenchmark	flax_linen_attention	2026-06-04T18:05:21.870377+00:00Z	2026-06-04T18:05:22.264772+00:00Z	0.16404999769292772	0.16404999769292772	0.16404999769292772	0.16404999769292772	0.16404999769292772
2	512	1024	1	microbenchmark	flax_linen_attention	2026-06-04T18:05:22.265557+00:00Z	2026-06-04T18:05:22.743264+00:00Z	0.18104999981005676	0.18104999981005676	0.18104999981005676	0.18104999981005676	0.18104999981005676
4	512	1024	1	microbenchmark	flax_linen_attention	2026-06-04T18:05:22.744066+00:00Z	2026-06-04T18:05:23.227492+00:00Z	0.21270000070217066	0.21270000070217066	0.21270000070217066	0.21270000070217066	0.21270000070217066
8	512	1024	1	microbenchmark	flax_linen_attention	2026-06-04T18:05:23.228283+00:00Z	2026-06-04T18:05:23.720608+00:00Z	0.2518500004953239	0.2518500004953239	0.2518500004953239	0.2518500004953239	0.2518500004953239
16	512	1024	1	microbenchmark	flax_linen_attention	2026-06-04T18:05:23.721269+00:00Z	2026-06-04T18:05:24.219007+00:00Z	0.353920000634389	0.353920000634389	0.353920000634389	0.353920000634389	0.353920000634389
32	512	1024	1	microbenchmark	flax_linen_attention	2026-06-04T18:05:24.219826+00:00Z	2026-06-04T18:05:24.727362+00:00Z	0.6381700004567392	0.6381700004567392	0.6381700004567392	0.6381700004567392	0.6381700004567392
2	128	1024	1	microbenchmark	flax_linen_attention	2026-06-04T18:05:24.728037+00:00Z	2026-06-04T18:05:24.888239+00:00Z	0.17047000073944218	0.17047000073944218	0.17047000073944218	0.17047000073944218	0.17047000073944218
2	256	1024	1	microbenchmark	flax_linen_attention	2026-06-04T18:05:24.889033+00:00Z	2026-06-04T18:05:25.160202+00:00Z	0.17025000124704093	0.17025000124704093	0.17025000124704093	0.17025000124704093	0.17025000124704093
2	512	1024	1	microbenchmark	flax_linen_attention	2026-06-04T18:05:25.160995+00:00Z	2026-06-04T18:05:25.639531+00:00Z	0.18544999693403952	0.18544999693403952	0.18544999693403952	0.18544999693403952	0.18544999693403952
2	1024	1024	1	microbenchmark	flax_linen_attention	2026-06-04T18:05:25.640332+00:00Z	2026-06-04T18:05:26.141994+00:00Z	0.22732000070391223	0.22732000070391223	0.22732000070391223	0.22732000070391223	0.22732000070391223
2	2048	1024	1	microbenchmark	flax_linen_attention	2026-06-04T18:05:26.142768+00:00Z	2026-06-04T18:05:26.653155+00:00Z	0.307288999465527	0.307288999465527	0.307288999465527	0.307288999465527	0.307288999465527
2	512	128	1	microbenchmark	flax_linen_attention	2026-06-04T18:05:26.653966+00:00Z	2026-06-04T18:05:26.870822+00:00Z	0.16740999853936955	0.16740999853936955	0.16740999853936955	0.16740999853936955	0.16740999853936955
2	512	256	1	microbenchmark	flax_linen_attention	2026-06-04T18:05:26.871580+00:00Z	2026-06-04T18:05:27.108515+00:00Z	0.18062999879475683	0.18062999879475683	0.18062999879475683	0.18062999879475683	0.18062999879475683
2	512	512	1	microbenchmark	flax_linen_attention	2026-06-04T18:05:27.109282+00:00Z	2026-06-04T18:05:27.434592+00:00Z	0.1665599993430078	0.1665599993430078	0.1665599993430078	0.1665599993430078	0.1665599993430078
2	512	1024	1	microbenchmark	flax_linen_attention	2026-06-04T18:05:27.435358+00:00Z	2026-06-04T18:05:27.909882+00:00Z	0.18194899894297123	0.18194899894297123	0.18194899894297123	0.18194899894297123	0.18194899894297123
2	512	2048	1	microbenchmark	flax_linen_attention	2026-06-04T18:05:27.910658+00:00Z	2026-06-04T18:05:28.724412+00:00Z	0.2162000018870458	0.2162000018870458	0.2162000018870458	0.2162000018870458	0.2162000018870458
2	512	4096	1	microbenchmark	flax_linen_attention	2026-06-04T18:05:28.725213+00:00Z	2026-06-04T18:05:30.376949+00:00Z	0.2762200019787997	0.2762200019787997	0.2762200019787997	0.2762200019787997	0.2762200019787997
2	512	2048	1	microbenchmark	flax_linen_attention	2026-06-04T18:05:30.377744+00:00Z	2026-06-04T18:05:31.187606+00:00Z	0.21642000137944706	0.21642000137944706	0.21642000137944706	0.21642000137944706	0.21642000137944706
2	512	2048	2	microbenchmark	flax_linen_attention	2026-06-04T18:05:31.188443+00:00Z	2026-06-04T18:05:32.641228+00:00Z	0.19917900135624222	0.19917900135624222	0.19917900135624222	0.19917900135624222	0.19917900135624222
2	512	2048	4	microbenchmark	flax_linen_attention	2026-06-04T18:05:32.642021+00:00Z	2026-06-04T18:05:34.456861+00:00Z	0.19844999769702554	0.19844999769702554	0.19844999769702554	0.19844999769702554	0.19844999769702554
2	512	2048	8	microbenchmark	flax_linen_attention	2026-06-04T18:05:34.457661+00:00Z	2026-06-04T18:05:37.186047+00:00Z	0.18676000036066398	0.18676000036066398	0.18676000036066398	0.18676000036066398	0.18676000036066398
2	512	2048	16	microbenchmark	flax_linen_attention	2026-06-04T18:05:37.186877+00:00Z	2026-06-04T18:05:38.201079+00:00Z	0.2186599995184224	0.2186599995184224	0.2186599995184224	0.2186599995184224	0.2186599995184224
